"V1","V2","V3","V4","V5"
0,3,5.16,7.59,9.777
0,3,11.1,13.53,20.091
0,3,11.1,13.53,20.091
0,3,5.16,7.59,9.777
0,3,5.16,7.59,9.777
0,3,5.16,7.59,14.151
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,5.16,12.45,19.011
0,3,11.1,18.39,20.577
0,3,5.16,7.59,9.777
0,3,5.16,7.59,14.151
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,11.1,18.39,20.577
0,3,11.1,18.39,24.951
0,3,5.16,7.59,9.777
0,3,5.16,7.59,9.777
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,11.1,13.53,20.091
0,3,11.1,18.39,24.951
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,5.16,7.59,14.151
0,3,5.16,7.59,14.151
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,11.1,13.53,20.091
0,3,11.1,18.39,20.577
0,3,5.16,7.59,9.777
0,3,5.16,7.59,14.151
0,3,5.16,7.59,14.151
0,3,5.16,12.45,14.637
0,3,11.1,18.39,20.577
0,3,5.16,12.45,14.637
0,3,11.1,13.53,15.717
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,5.16,12.45,14.637
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,11.1,13.53,15.717
0,3,11.1,18.39,20.577
0,3,11.1,18.39,24.951
0,3,11.1,18.39,20.577
0,3,11.1,18.39,24.951
0,3,5.16,7.59,14.151
0,3,5.16,12.45,14.637
0,3,11.1,18.39,24.951
0,3,5.16,7.59,9.777
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,11.1,13.53,15.717
0,3,5.16,12.45,19.011
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,5.16,12.45,19.011
0,3,11.1,18.39,24.951
0,3,11.1,18.39,20.577
0,3,5.16,7.59,14.151
0,3,5.16,7.59,9.777
0,3,5.16,7.59,14.151
0,3,5.16,7.59,9.777
0,3,11.1,13.53,15.717
0,3,5.16,7.59,14.151
0,3,11.1,18.39,24.951
0,3,5.16,7.59,9.777
0,3,5.16,7.59,14.151
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,5.16,7.59,14.151
0,3,5.16,7.59,9.777
0,3,5.16,7.59,14.151
0,3,5.16,7.59,9.777
0,3,5.16,7.59,9.777
0,3,5.16,12.45,19.011
0,3,5.16,12.45,19.011
0,3,11.1,18.39,24.951
0,3,11.1,18.39,24.951
0,3,5.16,7.59,14.151
0,3,11.1,18.39,24.951
0,3,5.16,7.59,14.151
0,3,5.16,7.59,9.777
0,3,11.1,18.39,24.951
0,3,5.16,7.59,14.151
0,3,5.16,12.45,19.011
0,3,5.16,7.59,9.777
0,3,5.16,7.59,9.777
0,3,5.16,12.45,14.637
0,3,5.16,12.45,14.637
0,3,5.16,7.59,9.777
0,3,5.16,7.59,9.777
0,3,5.16,12.45,14.637
0,3,5.16,12.45,14.637
0,3,5.16,12.45,14.637
0,3,5.16,7.59,9.777
0,3,5.16,12.45,14.637
0,3,5.16,7.59,9.777
0,3,5.16,7.59,9.777
